#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDCA8	DPYSL3	9606.ENSP00000362146	9606.ENSP00000343690	0	0	0	0	0.042	0.422	0	0.043	0.423
CDCA8	SGO2	9606.ENSP00000362146	9606.ENSP00000350447	0	0	0	0	0.336	0.295	0	0.922	0.960
CDCA8	DDX3Y	9606.ENSP00000362146	9606.ENSP00000353284	0	0	0	0	0.111	0.432	0	0.075	0.492
CDCA8	DTL	9606.ENSP00000362146	9606.ENSP00000355958	0	0	0	0	0.478	0	0	0.171	0.549
CDCA8	NDC1	9606.ENSP00000362146	9606.ENSP00000360483	0	0	0	0	0.374	0	0.400	0.057	0.615
CDCA8	CEP55	9606.ENSP00000362146	9606.ENSP00000360540	0	0	0	0	0.819	0	0	0.596	0.923
CDCA8	KIF20B	9606.ENSP00000362146	9606.ENSP00000360793	0	0	0	0	0.422	0	0	0.526	0.714
CDCA8	HELLS	9606.ENSP00000362146	9606.ENSP00000377601	0	0	0	0	0.315	0.095	0	0.205	0.464
CDCA8	SDHB	9606.ENSP00000362146	9606.ENSP00000364649	0.053	0	0	0	0.322	0.071	0	0.277	0.511
CDCA8	CENPK	9606.ENSP00000362146	9606.ENSP00000379911	0	0	0	0	0.380	0	0	0.411	0.619
CDCA8	MCM10	9606.ENSP00000362146	9606.ENSP00000418268	0	0	0	0	0.483	0	0	0.408	0.681
CDCA8	UBE2T	9606.ENSP00000362146	9606.ENSP00000494957	0	0	0	0	0.572	0.068	0	0.280	0.687
CDCA8	ZWINT	9606.ENSP00000362146	9606.ENSP00000363055	0	0	0	0	0.652	0	0	0.394	0.780
CDCA8	NCAPG2	9606.ENSP00000362146	9606.ENSP00000387007	0	0	0	0	0.621	0	0	0.470	0.790
CDCA8	PRC1	9606.ENSP00000362146	9606.ENSP00000377793	0	0	0	0	0.801	0.292	0	0.311	0.894
CDCA8	RACGAP1	9606.ENSP00000362146	9606.ENSP00000404190	0	0	0	0	0.784	0	0	0.707	0.934
CDCA8	KIF20A	9606.ENSP00000362146	9606.ENSP00000378356	0	0	0	0	0.907	0.434	0	0.656	0.980
CDCP1	COL1A1	9606.ENSP00000296129	9606.ENSP00000225964	0	0	0	0	0.045	0	0	0.438	0.440
CDCP1	FYN	9606.ENSP00000296129	9606.ENSP00000346671	0	0	0	0	0.067	0.292	0	0.203	0.427
CDH6	LUM	9606.ENSP00000265071	9606.ENSP00000266718	0	0	0	0	0.056	0	0	0.406	0.415
CDH6	COL15A1	9606.ENSP00000265071	9606.ENSP00000364140	0	0	0	0	0.047	0	0	0.423	0.426
CDH6	CLDN4	9606.ENSP00000265071	9606.ENSP00000409544	0	0	0	0	0.059	0	0	0.478	0.488
CDH6	LIN7A	9606.ENSP00000265071	9606.ENSP00000447488	0	0	0	0	0.042	0	0	0.511	0.511
CDH6	DCHS1	9606.ENSP00000265071	9606.ENSP00000299441	0	0	0	0.606	0.042	0	0.540	0.143	0.589
CDH6	JUP	9606.ENSP00000265071	9606.ENSP00000377508	0	0	0	0	0	0.133	0.540	0.066	0.594
CDK2	MMP2	9606.ENSP00000266970	9606.ENSP00000219070	0	0	0	0	0	0	0	0.479	0.479
CDK2	GMNN	9606.ENSP00000266970	9606.ENSP00000230056	0	0	0	0	0.179	0.664	0	0.322	0.797
CDK2	KIF11	9606.ENSP00000266970	9606.ENSP00000260731	0	0	0	0	0.383	0.139	0	0.619	0.780
CDK2	PKMYT1	9606.ENSP00000266970	9606.ENSP00000262300	0	0	0.112	0.676	0.191	0.314	0	0.229	0.570
CDK2	RACGAP1	9606.ENSP00000266970	9606.ENSP00000404190	0	0	0	0	0.280	0	0	0.213	0.410
CDK2	LYN	9606.ENSP00000266970	9606.ENSP00000428924	0	0	0	0.666	0.060	0.334	0	0.139	0.414
CDK2	PPP2R2B	9606.ENSP00000266970	9606.ENSP00000377936	0	0	0	0	0.067	0.320	0	0.155	0.417
CDK2	KIF20A	9606.ENSP00000266970	9606.ENSP00000378356	0	0	0	0	0.283	0	0	0.237	0.430
CDK2	KIT	9606.ENSP00000266970	9606.ENSP00000288135	0	0	0	0.594	0.067	0	0	0.415	0.430
CDK2	ID3	9606.ENSP00000266970	9606.ENSP00000363689	0	0	0	0	0.082	0.299	0	0.185	0.430
CDK2	DPP4	9606.ENSP00000266970	9606.ENSP00000353731	0	0	0	0	0	0	0	0.450	0.450
CDK2	MELK	9606.ENSP00000266970	9606.ENSP00000298048	0	0	0.093	0.712	0.373	0.095	0	0.129	0.492
CDK2	HSPB3	9606.ENSP00000266970	9606.ENSP00000303394	0	0	0	0	0.047	0	0	0.492	0.495
CDK2	UBE2T	9606.ENSP00000266970	9606.ENSP00000494957	0	0	0	0	0.214	0.328	0	0.133	0.503
CDK2	INTU	9606.ENSP00000266970	9606.ENSP00000334003	0	0	0	0	0.353	0.288	0	0.129	0.563
CDK2	PRC1	9606.ENSP00000266970	9606.ENSP00000377793	0	0	0	0	0.286	0.360	0	0.235	0.621
CDK2	TYMS	9606.ENSP00000266970	9606.ENSP00000315644	0	0	0	0	0.358	0	0	0.457	0.636
CDK2	DTL	9606.ENSP00000266970	9606.ENSP00000355958	0	0	0	0	0.280	0.292	0	0.444	0.692
CDK2	MCM10	9606.ENSP00000266970	9606.ENSP00000418268	0	0	0	0	0.227	0	0.500	0.637	0.847
CDK2	PCNA	9606.ENSP00000266970	9606.ENSP00000368458	0	0	0	0	0.406	0.876	0	0.390	0.951
CDK2	FOXO1	9606.ENSP00000266970	9606.ENSP00000368880	0	0	0	0	0	0.117	0.900	0.659	0.967
CDK2	CDT1	9606.ENSP00000266970	9606.ENSP00000301019	0	0	0	0	0.263	0.795	0.500	0.789	0.982
CDK2	TP53	9606.ENSP00000266970	9606.ENSP00000269305	0	0	0	0	0.093	0.778	0.500	0.891	0.987
CDKL5	GRIN2A	9606.ENSP00000369325	9606.ENSP00000332549	0	0	0	0	0.103	0	0	0.480	0.513
CDKL5	MEF2C	9606.ENSP00000369325	9606.ENSP00000340874	0	0	0	0	0	0	0	0.482	0.482
CDKL5	L1CAM	9606.ENSP00000369325	9606.ENSP00000359077	0	0	0	0	0.045	0	0	0.494	0.496
CDKL5	EFHC1	9606.ENSP00000369325	9606.ENSP00000360107	0	0	0	0	0.077	0	0	0.431	0.453
CDKL5	MEF2A	9606.ENSP00000369325	9606.ENSP00000453095	0	0	0	0	0	0	0	0.416	0.416
CDKL5	NHS	9606.ENSP00000369325	9606.ENSP00000369400	0	0	0	0	0.179	0	0	0.685	0.730
CDKL5	RAI2	9606.ENSP00000369325	9606.ENSP00000444210	0	0	0	0	0.145	0	0	0.776	0.800
CDKL5	SCN2A	9606.ENSP00000369325	9606.ENSP00000490107	0	0	0	0	0.084	0	0	0.813	0.821
CDON	SMO	9606.ENSP00000376458	9606.ENSP00000249373	0	0	0	0	0.079	0.073	0.400	0.652	0.798
CDON	HHIP	9606.ENSP00000376458	9606.ENSP00000296575	0	0	0	0	0	0.134	0	0.549	0.592
CDON	MEF2C	9606.ENSP00000376458	9606.ENSP00000340874	0	0	0	0	0	0	0.500	0.218	0.592
CDON	NEO1	9606.ENSP00000376458	9606.ENSP00000341198	0	0	0	0.557	0.074	0.095	0.500	0.177	0.609
CDON	MEF2A	9606.ENSP00000376458	9606.ENSP00000453095	0	0	0	0	0	0	0.500	0.152	0.558
CDT1	RAD51AP1	9606.ENSP00000301019	9606.ENSP00000228843	0	0	0	0	0.295	0	0	0.462	0.604
CDT1	GMNN	9606.ENSP00000301019	9606.ENSP00000230056	0	0	0	0	0.408	0.997	0.900	0.981	0.999
CDT1	KIF11	9606.ENSP00000301019	9606.ENSP00000260731	0	0	0	0	0.626	0	0	0.475	0.795
CDT1	TIPIN	9606.ENSP00000301019	9606.ENSP00000261881	0	0	0	0	0.616	0.072	0	0.575	0.836
CDT1	PKMYT1	9606.ENSP00000301019	9606.ENSP00000262300	0	0	0	0	0.486	0	0	0.364	0.659
CDT1	TP53	9606.ENSP00000301019	9606.ENSP00000269305	0	0	0	0	0.082	0	0	0.506	0.527
CDT1	SPC25	9606.ENSP00000301019	9606.ENSP00000282074	0	0	0	0	0.397	0	0	0.089	0.427
CDT1	MELK	9606.ENSP00000301019	9606.ENSP00000298048	0	0	0	0	0.495	0	0	0.121	0.537
CDT1	UBE2T	9606.ENSP00000301019	9606.ENSP00000494957	0	0	0	0	0.307	0	0	0.170	0.401
CDT1	FANCA	9606.ENSP00000301019	9606.ENSP00000373952	0	0	0	0	0.327	0	0	0.167	0.415
CDT1	HELLS	9606.ENSP00000301019	9606.ENSP00000377601	0	0	0	0	0.371	0.067	0	0.108	0.431
CDT1	RMI2	9606.ENSP00000301019	9606.ENSP00000310356	0	0	0	0	0.334	0	0	0.200	0.444
CDT1	INTU	9606.ENSP00000301019	9606.ENSP00000334003	0	0	0	0	0.296	0.191	0	0.129	0.460
CDT1	PRC1	9606.ENSP00000301019	9606.ENSP00000377793	0	0	0	0	0.448	0	0	0.068	0.463
CDT1	CEP55	9606.ENSP00000301019	9606.ENSP00000360540	0	0	0	0	0.380	0	0	0.206	0.487
CDT1	ZWINT	9606.ENSP00000301019	9606.ENSP00000363055	0	0	0	0	0.367	0	0	0.248	0.504
CDT1	NCAPG2	9606.ENSP00000301019	9606.ENSP00000387007	0	0	0	0	0.392	0	0	0.239	0.518
CDT1	P2RY1	9606.ENSP00000301019	9606.ENSP00000304767	0	0	0	0	0.103	0	0	0.497	0.529
CDT1	DSCC1	9606.ENSP00000301019	9606.ENSP00000322180	0	0	0	0	0.364	0.069	0	0.326	0.566
CDT1	RACGAP1	9606.ENSP00000301019	9606.ENSP00000404190	0	0	0	0	0.518	0	0	0.163	0.580
CDT1	KIF20A	9606.ENSP00000301019	9606.ENSP00000378356	0	0	0	0	0.501	0	0	0.213	0.591
CDT1	SHCBP1	9606.ENSP00000301019	9606.ENSP00000306473	0	0	0	0	0.328	0	0	0.451	0.615
CDT1	TYMS	9606.ENSP00000301019	9606.ENSP00000315644	0	0	0	0	0.572	0	0	0.213	0.649
CDT1	PCNA	9606.ENSP00000301019	9606.ENSP00000368458	0	0	0	0	0.508	0.988	0	0.268	0.995
CDT1	MCM10	9606.ENSP00000301019	9606.ENSP00000418268	0	0	0	0	0.889	0.136	0.500	0.945	0.997
CDT1	DTL	9606.ENSP00000301019	9606.ENSP00000355958	0	0	0	0	0.688	0.748	0	0.979	0.998
CEBPD	TWIST1	9606.ENSP00000386165	9606.ENSP00000242261	0	0	0	0	0.067	0	0.400	0.148	0.481
CEBPD	NFIL3	9606.ENSP00000386165	9606.ENSP00000297689	0	0	0	0	0.253	0	0	0.459	0.579
CEBPD	COA6	9606.ENSP00000386165	9606.ENSP00000355574	0	0	0	0	0.087	0.254	0.198	0.100	0.442
CEBPD	PTBP2	9606.ENSP00000386165	9606.ENSP00000359216	0	0	0	0	0	0	0	0.596	0.596
CEBPD	PIM1	9606.ENSP00000386165	9606.ENSP00000362608	0	0	0	0	0.077	0.094	0.400	0.102	0.489
CEBPD	FOXO1	9606.ENSP00000386165	9606.ENSP00000368880	0	0	0	0	0.076	0.047	0.400	0.337	0.603
CEBPD	NOVA1	9606.ENSP00000386165	9606.ENSP00000438875	0	0	0	0	0.051	0	0	0.394	0.400
CELSR2	SORL1	9606.ENSP00000271332	9606.ENSP00000260197	0	0	0	0	0.044	0	0	0.589	0.590
CELSR2	WNT5A	9606.ENSP00000271332	9606.ENSP00000264634	0	0	0	0	0	0	0	0.406	0.406
CELSR2	NAALADL2	9606.ENSP00000271332	9606.ENSP00000404705	0	0	0	0	0	0.422	0	0	0.422
CELSR2	PLXNA4	9606.ENSP00000271332	9606.ENSP00000352882	0	0	0	0	0.131	0	0	0.376	0.434
CELSR2	PTPRU	9606.ENSP00000271332	9606.ENSP00000334941	0	0	0	0	0.146	0	0	0.414	0.478
CELSR2	HMGCR	9606.ENSP00000271332	9606.ENSP00000287936	0	0	0	0	0.042	0	0	0.602	0.602
CELSR2	PRICKLE1	9606.ENSP00000271332	9606.ENSP00000345064	0	0	0	0	0.104	0.081	0	0.577	0.621
CEMIP	HAS2	9606.ENSP00000378177	9606.ENSP00000306991	0	0	0	0	0.072	0	0	0.542	0.556
CENPK	RAD51AP1	9606.ENSP00000379911	9606.ENSP00000228843	0	0	0	0	0.401	0	0	0.357	0.598
CENPK	GMNN	9606.ENSP00000379911	9606.ENSP00000230056	0	0	0	0	0.289	0	0	0.283	0.468
CENPK	KNSTRN	9606.ENSP00000379911	9606.ENSP00000249776	0	0	0	0	0.231	0	0	0.339	0.470
CENPK	KIF11	9606.ENSP00000379911	9606.ENSP00000260731	0	0	0	0	0.503	0	0	0.335	0.656
CENPK	CENPU	9606.ENSP00000379911	9606.ENSP00000281453	0	0	0	0	0.360	0.922	0.800	0.955	0.999
CENPK	SPC25	9606.ENSP00000379911	9606.ENSP00000282074	0	0	0	0	0.593	0	0	0.175	0.649
CENPK	MELK	9606.ENSP00000379911	9606.ENSP00000298048	0	0	0	0	0.525	0	0	0.299	0.652
CENPK	SHCBP1	9606.ENSP00000379911	9606.ENSP00000306473	0	0	0	0	0.412	0	0	0.105	0.451
CENPK	TYMS	9606.ENSP00000379911	9606.ENSP00000315644	0	0	0	0	0.410	0	0	0.146	0.474
CENPK	SGO2	9606.ENSP00000379911	9606.ENSP00000350447	0	0	0	0	0.448	0	0	0.200	0.540
CENPK	DTL	9606.ENSP00000379911	9606.ENSP00000355958	0	0	0	0	0.395	0	0	0.116	0.442
CENPK	CEP55	9606.ENSP00000379911	9606.ENSP00000360540	0	0	0	0	0.385	0	0	0.292	0.547
CENPK	KIF20B	9606.ENSP00000379911	9606.ENSP00000360793	0	0	0	0	0.315	0.092	0	0.182	0.447
CENPK	ZWINT	9606.ENSP00000379911	9606.ENSP00000363055	0	0	0	0	0.305	0.171	0	0.436	0.646
CENPK	HELLS	9606.ENSP00000379911	9606.ENSP00000377601	0	0	0	0	0.520	0.090	0	0.195	0.618
CENPK	PRC1	9606.ENSP00000379911	9606.ENSP00000377793	0	0	0	0	0.390	0	0	0.239	0.516
CENPK	KIF20A	9606.ENSP00000379911	9606.ENSP00000378356	0	0	0	0	0.375	0.092	0	0.340	0.593
CENPK	SOX6	9606.ENSP00000379911	9606.ENSP00000379644	0	0	0	0	0	0.292	0	0.564	0.678
CENPK	UBE2T	9606.ENSP00000379911	9606.ENSP00000494957	0	0	0	0	0.371	0	0	0.113	0.419
CENPK	RACGAP1	9606.ENSP00000379911	9606.ENSP00000404190	0	0	0	0	0.325	0	0	0.247	0.470
CENPK	MCM10	9606.ENSP00000379911	9606.ENSP00000418268	0	0	0	0	0.433	0	0	0.242	0.553
CENPK	NCAPG2	9606.ENSP00000379911	9606.ENSP00000387007	0	0	0	0	0.408	0.099	0	0.256	0.568
CENPU	RAD51AP1	9606.ENSP00000281453	9606.ENSP00000228843	0	0	0	0	0.766	0	0	0.206	0.806
CENPU	GMNN	9606.ENSP00000281453	9606.ENSP00000230056	0	0	0	0	0.429	0	0	0.240	0.548
CENPU	KNSTRN	9606.ENSP00000281453	9606.ENSP00000249776	0	0	0	0	0.270	0	0	0.225	0.410
CENPU	KIF11	9606.ENSP00000281453	9606.ENSP00000260731	0	0	0	0	0.502	0	0	0.320	0.647
CENPU	TIPIN	9606.ENSP00000281453	9606.ENSP00000261881	0	0	0	0	0.291	0	0	0.226	0.427
CENPU	SGO2	9606.ENSP00000281453	9606.ENSP00000350447	0	0	0	0	0.255	0	0	0.271	0.433
CENPU	KIF20B	9606.ENSP00000281453	9606.ENSP00000360793	0	0	0	0	0.291	0.071	0	0.259	0.469
CENPU	MCM10	9606.ENSP00000281453	9606.ENSP00000418268	0	0	0	0	0.418	0	0	0.149	0.484
CENPU	HELLS	9606.ENSP00000281453	9606.ENSP00000377601	0	0	0	0	0.349	0	0	0.253	0.493
CENPU	DSCC1	9606.ENSP00000281453	9606.ENSP00000322180	0	0	0	0	0.354	0	0	0.255	0.499
CENPU	PRC1	9606.ENSP00000281453	9606.ENSP00000377793	0	0	0	0	0.380	0	0	0.245	0.511
CENPU	UBE2T	9606.ENSP00000281453	9606.ENSP00000494957	0	0	0	0	0.455	0.061	0	0.148	0.526
CENPU	KIF20A	9606.ENSP00000281453	9606.ENSP00000378356	0	0	0	0	0.361	0.071	0	0.324	0.564
CENPU	SPC25	9606.ENSP00000281453	9606.ENSP00000282074	0	0	0	0	0.482	0	0	0.241	0.590
CENPU	CEP55	9606.ENSP00000281453	9606.ENSP00000360540	0	0	0	0	0.447	0	0	0.320	0.608
CENPU	MELK	9606.ENSP00000281453	9606.ENSP00000298048	0	0	0	0	0.510	0	0	0.270	0.627
CENPU	TYMS	9606.ENSP00000281453	9606.ENSP00000315644	0	0	0	0	0.520	0	0	0.281	0.640
CENPU	NCAPG2	9606.ENSP00000281453	9606.ENSP00000387007	0	0	0	0	0.349	0	0	0.510	0.667
CENPU	DTL	9606.ENSP00000281453	9606.ENSP00000355958	0	0	0	0	0.661	0	0	0.082	0.675
CENPU	RACGAP1	9606.ENSP00000281453	9606.ENSP00000404190	0	0	0	0	0.349	0	0	0.587	0.719
CENPU	ZWINT	9606.ENSP00000281453	9606.ENSP00000363055	0	0	0	0	0.526	0	0	0.656	0.829
CEP55	RAD51AP1	9606.ENSP00000360540	9606.ENSP00000228843	0	0	0	0	0.776	0	0	0.312	0.839
CEP55	KNSTRN	9606.ENSP00000360540	9606.ENSP00000249776	0	0	0	0	0.465	0	0	0.477	0.708
CEP55	KIF11	9606.ENSP00000360540	9606.ENSP00000260731	0	0	0	0	0.994	0	0	0.519	0.997
CEP55	TP53	9606.ENSP00000360540	9606.ENSP00000269305	0	0	0	0	0.067	0.164	0	0.297	0.403
CEP55	SPC25	9606.ENSP00000360540	9606.ENSP00000282074	0	0	0	0	0.795	0	0	0.117	0.811
CEP55	MELK	9606.ENSP00000360540	9606.ENSP00000298048	0	0	0	0	0.830	0	0	0.751	0.956
CEP55	SHCBP1	9606.ENSP00000360540	9606.ENSP00000306473	0	0	0	0	0.685	0	0	0.348	0.785
CEP55	TYMS	9606.ENSP00000360540	9606.ENSP00000315644	0	0	0	0	0.524	0	0	0.530	0.767
CEP55	DSCC1	9606.ENSP00000360540	9606.ENSP00000322180	0	0	0	0	0.356	0	0	0.174	0.446
CEP55	SGO2	9606.ENSP00000360540	9606.ENSP00000350447	0	0	0	0	0.515	0	0	0.231	0.611
CEP55	DTL	9606.ENSP00000360540	9606.ENSP00000355958	0	0	0	0	0.780	0	0	0.203	0.817
CEP55	KIF20B	9606.ENSP00000360540	9606.ENSP00000360793	0	0	0	0	0.335	0.053	0	0.292	0.515
CEP55	NCAPG2	9606.ENSP00000360540	9606.ENSP00000387007	0	0	0	0	0.508	0	0	0.206	0.592
CEP55	HELLS	9606.ENSP00000360540	9606.ENSP00000377601	0	0	0	0	0.423	0	0	0.354	0.611
CEP55	UBE2T	9606.ENSP00000360540	9606.ENSP00000494957	0	0	0	0	0.465	0	0	0.585	0.768
CEP55	MCM10	9606.ENSP00000360540	9606.ENSP00000418268	0	0	0	0	0.689	0	0	0.368	0.795
CEP55	ZWINT	9606.ENSP00000360540	9606.ENSP00000363055	0	0	0	0	0.781	0	0	0.418	0.867
CEP55	PRC1	9606.ENSP00000360540	9606.ENSP00000377793	0	0	0	0	0.824	0	0	0.476	0.904
CEP55	RACGAP1	9606.ENSP00000360540	9606.ENSP00000404190	0	0	0	0	0.780	0.102	0	0.803	0.958
CEP55	KIF20A	9606.ENSP00000360540	9606.ENSP00000378356	0	0	0	0	0.833	0.053	0	0.782	0.962
CFB	HMCN1	9606.ENSP00000416561	9606.ENSP00000271588	0	0	0	0	0.062	0.125	0	0.562	0.609
CFB	SERPING1	9606.ENSP00000416561	9606.ENSP00000278407	0	0	0	0	0.308	0.045	0	0.833	0.880
CFB	CLU	9606.ENSP00000416561	9606.ENSP00000315130	0	0	0	0	0.094	0	0	0.675	0.693
CFB	HTRA1	9606.ENSP00000416561	9606.ENSP00000357980	0	0	0	0	0.083	0	0	0.536	0.556
CFB	HLA-A	9606.ENSP00000416561	9606.ENSP00000379873	0	0	0	0	0.084	0	0	0.598	0.616
CGA	RGS20	9606.ENSP00000482232	9606.ENSP00000297313	0	0	0	0	0.068	0	0	0.433	0.448
CGA	GNG2	9606.ENSP00000482232	9606.ENSP00000334448	0	0	0	0	0	0.800	0	0	0.800
CGA	GPR1	9606.ENSP00000482232	9606.ENSP00000480405	0	0	0	0	0	0	0	0.446	0.446
CGNL1	TRAPPC6A	9606.ENSP00000281282	9606.ENSP00000006275	0	0	0	0	0.052	0.312	0	0.160	0.404
CGNL1	RACGAP1	9606.ENSP00000281282	9606.ENSP00000404190	0	0	0	0	0.047	0	0	0.839	0.840
CHCHD1	MRPL32	9606.ENSP00000361923	9606.ENSP00000223324	0	0	0	0	0.314	0.829	0	0	0.878
CHCHD1	TIMM10	9606.ENSP00000361923	9606.ENSP00000257245	0	0	0	0	0.728	0	0	0	0.728
CHCHD1	SDHB	9606.ENSP00000361923	9606.ENSP00000364649	0	0	0	0	0.165	0	0	0.354	0.438
CHRM2	GNG11	9606.ENSP00000399745	9606.ENSP00000248564	0	0	0	0	0	0	0.650	0.226	0.717
CHRM2	VAMP8	9606.ENSP00000399745	9606.ENSP00000263864	0	0	0	0	0	0	0.500	0	0.499
CHRM2	WNT5A	9606.ENSP00000399745	9606.ENSP00000264634	0	0	0	0	0	0	0.400	0.044	0.401
CHRM2	RGS20	9606.ENSP00000399745	9606.ENSP00000297313	0	0	0	0	0.044	0	0	0.497	0.498
CHRM2	GNB2	9606.ENSP00000399745	9606.ENSP00000305260	0	0	0	0	0	0	0.650	0.070	0.660
CHRM2	GNG2	9606.ENSP00000399745	9606.ENSP00000334448	0	0	0	0	0	0	0.650	0.451	0.799
CHRM2	MAP2	9606.ENSP00000399745	9606.ENSP00000353508	0	0	0	0	0.058	0	0	0.541	0.549
CHRM2	MAOB	9606.ENSP00000399745	9606.ENSP00000367309	0	0	0	0	0	0	0	0.434	0.434
CHRM2	IRF2	9606.ENSP00000399745	9606.ENSP00000377218	0	0	0	0	0	0	0	0.401	0.401
CHRM2	JUP	9606.ENSP00000399745	9606.ENSP00000377508	0	0	0	0	0	0	0	0.408	0.408
CHRM2	LDLR	9606.ENSP00000399745	9606.ENSP00000454071	0	0	0	0	0.047	0	0.500	0.052	0.508
CHRM2	GNAI1	9606.ENSP00000399745	9606.ENSP00000497260	0	0	0	0	0.044	0	0.650	0.450	0.800
CHRM2	LPAR4	9606.ENSP00000399745	9606.ENSP00000408205	0	0	0	0	0	0	0.900	0.066	0.902
CHST1	LUM	9606.ENSP00000309270	9606.ENSP00000266718	0	0	0	0	0	0	0.400	0.756	0.847
CHST1	CHST15	9606.ENSP00000309270	9606.ENSP00000333947	0	0	0	0	0.063	0	0	0.390	0.404
CHST1	PRELP	9606.ENSP00000309270	9606.ENSP00000343924	0	0	0	0	0.058	0	0.400	0.045	0.413
CHST1	EXTL1	9606.ENSP00000309270	9606.ENSP00000363398	0	0	0	0	0.146	0	0	0.383	0.450
CHST15	DCN	9606.ENSP00000333947	9606.ENSP00000052754	0	0	0	0	0.042	0.045	0.400	0.260	0.539
CHST15	NDST2	9606.ENSP00000333947	9606.ENSP00000310657	0	0	0	0	0.049	0	0	0.465	0.469
CHUK	RELB	9606.ENSP00000359424	9606.ENSP00000221452	0	0	0	0	0.049	0.381	0.900	0.934	0.995
CHUK	PYCARD	9606.ENSP00000359424	9606.ENSP00000247470	0	0	0	0	0.079	0.300	0.540	0.292	0.762
CHUK	DNMT3A	9606.ENSP00000359424	9606.ENSP00000264709	0	0	0	0	0.082	0.058	0	0.382	0.419
CHUK	ICAM1	9606.ENSP00000359424	9606.ENSP00000264832	0	0	0	0	0	0	0	0.483	0.483
CHUK	TP53	9606.ENSP00000359424	9606.ENSP00000269305	0	0	0	0	0.058	0.345	0.500	0.756	0.914
CHUK	VCAM1	9606.ENSP00000359424	9606.ENSP00000294728	0	0	0	0	0	0.102	0	0.405	0.442
CHUK	MAP2K1	9606.ENSP00000359424	9606.ENSP00000302486	0	0	0.108	0.602	0.147	0.161	0	0.217	0.434
CHUK	PSG1	9606.ENSP00000359424	9606.ENSP00000308970	0	0	0	0	0.074	0.430	0	0.099	0.482
CHUK	MUC1	9606.ENSP00000359424	9606.ENSP00000484824	0	0	0	0	0	0.095	0	0.387	0.421
CHUK	IGF1R	9606.ENSP00000359424	9606.ENSP00000497069	0	0	0	0.556	0	0	0	0.444	0.444
CHUK	FOXO1	9606.ENSP00000359424	9606.ENSP00000368880	0	0	0	0	0	0.094	0.900	0.358	0.936
CLDN4	WNK4	9606.ENSP00000409544	9606.ENSP00000246914	0	0	0	0	0.062	0.059	0	0.434	0.457
CLDN4	GJA1	9606.ENSP00000409544	9606.ENSP00000282561	0	0	0	0	0	0	0	0.552	0.552
CLDN4	KRT7	9606.ENSP00000409544	9606.ENSP00000329243	0	0	0	0	0.188	0.071	0	0.383	0.495
CLDN4	KRT19	9606.ENSP00000409544	9606.ENSP00000355124	0	0	0	0	0.355	0.071	0	0.406	0.613
CLDN4	MUC1	9606.ENSP00000409544	9606.ENSP00000484824	0	0	0	0	0.153	0	0	0.419	0.486
CLDN4	LIN7A	9606.ENSP00000409544	9606.ENSP00000447488	0	0	0	0	0	0	0	0.515	0.515
CLU	PLAT	9606.ENSP00000315130	9606.ENSP00000220809	0	0	0	0	0.042	0	0	0.566	0.566
CLU	SORL1	9606.ENSP00000315130	9606.ENSP00000260197	0	0	0	0	0.044	0.045	0	0.861	0.862
CLU	TP53	9606.ENSP00000315130	9606.ENSP00000269305	0	0	0	0	0	0	0	0.419	0.418
CLU	SERPING1	9606.ENSP00000315130	9606.ENSP00000278407	0	0	0	0	0.344	0	0	0.593	0.721
CLU	VCAM1	9606.ENSP00000315130	9606.ENSP00000294728	0	0	0	0	0.056	0	0	0.544	0.551
CLU	MASP1	9606.ENSP00000315130	9606.ENSP00000296280	0	0	0	0	0.122	0	0	0.373	0.426
CLU	MMP3	9606.ENSP00000315130	9606.ENSP00000299855	0	0	0	0	0.054	0.361	0	0.537	0.695
CLU	HSPB3	9606.ENSP00000315130	9606.ENSP00000303394	0	0	0	0	0	0	0	0.640	0.640
CLU	FAS	9606.ENSP00000315130	9606.ENSP00000498466	0	0	0	0	0.056	0	0	0.395	0.404
CLU	ID1	9606.ENSP00000315130	9606.ENSP00000365280	0	0	0	0	0.049	0	0	0.427	0.431
CLU	MEF2C	9606.ENSP00000315130	9606.ENSP00000340874	0	0	0	0	0	0	0	0.435	0.435
CLU	PLAU	9606.ENSP00000315130	9606.ENSP00000361850	0	0	0	0	0	0	0	0.450	0.450
CLU	IGF2	9606.ENSP00000315130	9606.ENSP00000391826	0	0	0	0	0.067	0	0	0.454	0.468
CLU	MAP2	9606.ENSP00000315130	9606.ENSP00000353508	0	0	0	0	0.109	0	0	0.435	0.475
CLU	TXN	9606.ENSP00000315130	9606.ENSP00000363641	0	0	0	0	0.053	0.044	0	0.511	0.518
CLU	LDLR	9606.ENSP00000315130	9606.ENSP00000454071	0	0	0	0	0	0.091	0.540	0.117	0.598
CLU	FBN1	9606.ENSP00000315130	9606.ENSP00000325527	0	0	0	0	0.055	0.058	0	0.594	0.607
CLU	PLXNA4	9606.ENSP00000315130	9606.ENSP00000352882	0	0	0	0	0.068	0.301	0	0.721	0.802
CLU	ELN	9606.ENSP00000315130	9606.ENSP00000351807	0	0	0	0	0.066	0.292	0	0.728	0.804
CNKSR3	TIAM2	9606.ENSP00000475915	9606.ENSP00000437188	0	0	0	0	0.042	0	0	0.535	0.536
